1st Semester,,
Subject Code,Course Description ,Units
,,
MGT 501,Strategic Operation Management ,3
BEC 102,Total Quality Management ,3
MGT 202,Human Resource Management ,3
MGT 312,Costing and Pricing ,3
MGT 403,Logistic Management ,3
ENG 304,Bussiness Communication ,3
,,
SUMMER,,
MGT 500 ,Practicum/ Work Integrated Learning,6
,,
2nd Semester,,
,,
,,
Subject Code,Course Description ,Units
,,
MGT 402,Project Management ,3
MGT 322,Productivity and Quality Tools,3
MGT 323,Facilities Management ,3
MGT 201,Management Information System ,3
MGT 321,Managerial Accounting ,3
MGT 303,Probability and Statistic,3
