1st Year,1st Semester,,,,,
,,,,,,
,,,,,,
1,GED111,Understanding the Self,3,Dr. Wilbert Acedilla,"M,W,F",1:00 pm - 2:00 pm
2,GED112,Readings in Philippine History,3,"Mrs, Fe Llanes","T,TH,F",2:00-3:00 pm
3,GED113,The contemporary world,3,Mrs. Pilar Layco ,"M,W,F",7:00 AM - 8:00 AM
4,GED114,Mathematics in the modern worl,3,Dr. Wilbert Acedilla,"T,TH",3:00-4:00 pm
5,TYP100,Fundamentals of Typing,3,Mrs. Kristine Osano,"M,W,F",8:00 am - 9:00 am
6,CC101,Introduction to Computing,3,Mrs. Kristine Osano,"T,TH",5:00 -  6:00pm
7,FL111,Filipino sa Iba't Ibang Disipl,3,"Mrs, Fe Llanes","T,TH",1:00 pm - 2:00 pm
8,NSTP1,Civic Welfare Training Service,3,Mr. Benjie Javier,"T,TH",11:00 am -12:00 pm
9,PE1,Self Testing Activities ,2,"Mrs, Fe Llanes","F, SAT",9:am -  10:00 am
,,,,,,
,,,,,,
1st Year,2nd Semester,,,,,
,,,,,,
ID,,,,,,
1,GED125,Purposive Communication,3,Ms. Jennifer Bautista,"M,W,F",7:00am - 8:00am 
2,GED126,Art  Appreciation,3,Dr. Wilbert Acedilla,"M,W,F",9:00 am - 10 :00 am
3,GED127,"Science,Technology and Society",3,Mrs. Fe Llanes,"M,W,F", 10 :00 - 11:00am
4,GED128,Ethics,3,Dr. Wilbert Acedilla,"M,W,F",1:00- 2:00pm
5,COM101,Computer Techniques & Word Pro,3,Ms. Kristine Osano,"T,TH",8:00- 9:00am
6,CC102,Computer Programming I,3,Mrs. Vhying Bermas ,"T,TH", 10 :00 - 11:00am
7,FIL221,Panitikang Filipino,3,Mrs. Fe Llanes,"T,TH",2:00 pm 3:00 pm
8,NSTP2,Civic Welfare Training Service,3,Mr. Benjie Javier ,"T,TH",3:00 pm - 4:00 pm
9,P.E 2,Fundamentals of Rhythmic Activ,3,Mrs. Jennifer Bautista,"M,W,F",9:00 am - 10 :00 am
